,wavelength,drop,thru
0,1570.0062530120474,5.586487363652691e-05,0.050893949000260376
1,1570.0072542168675,4.9929160094302116e-05,0.050893568873684895
2,1570.0084843373495,,0.050897862511471784
3,1570.0096915662655,4.7274442403660365e-05,0.050880433192861264
4,1570.0108746987944,5.216600865607285e-05,0.05097294356749528
5,1570.0122518072294,5.104190116392482e-05,0.0508865790932758
6,1570.0134734939763,5.264988569633581e-05,0.050907329936691545
7,1570.0142987951808,5.236218415743535e-05,0.050999263594702145
8,1570.0150578313248,5.070369601117986e-05,0.050971985241341174
9,1570.0160602409633,5.461513047972254e-05,0.05092142960666132
10,1570.017018072289,5.4047528332517587e-05,0.05097624449885744
11,1570.0175096385549,5.139517055474482e-05,0.051000615470308215
12,1570.017798795181,5.33380546178786e-05,0.05097777975170343
13,1570.0182638554224,5.0103058753942464e-05,0.0509816300888327
14,1570.0190614457824,4.829643733784076e-05,0.05095689580216841
15,1570.0199626506019,4.736543263746888e-05,0.05097711488242213
16,1570.020801204819,5.146198914699674e-05,0.0509954695456345
17,1570.021749397591,5.086200845048555e-05,0.050986846546900014
18,1570.022859036145,5.137304859274453e-05,0.05098283250845495
19,1570.0238722891568,4.825525868932379e-05,0.0510005892482874
20,1570.024685542168,4.9258983816062804e-05,0.05103060387051557
21,1570.0254999999988,4.9320788158272156e-05,0.0510255984742041
22,1570.0264277108433,5.186725613240015e-05,0.05101416584280581
23,1570.0272698795184,5.236735834249928e-05,0.05102061420562765
24,1570.0278578313253,4.681101617816738e-05,0.051059233475611705
25,1570.0284132530123,5.026974114692339e-05,0.051042895844582686
26,1570.0290867469873,5.3408144437687424e-05,0.05104052860587782
27,1570.029844578313,4.969448181316225e-05,0.05105882274816793
28,1570.0306433734931,5.516284725477178e-05,0.05106480295947094
29,1570.031606024097,5.550695861948837e-05,0.051063826096932
30,1570.0327337349404,5.722189251898104e-05,0.05108005134196884
31,1570.0340759036146,5.044249884386937e-05,0.051101848614875794
32,1570.0356096385544,5.3826061767574666e-05,0.051117326806774194
33,1570.037295180723,5.1986593114283334e-05,0.05109401582322363
34,1570.0391277108429,5.806425335793156e-05,0.051166250281017525
35,1570.0410060240972,5.506452398763132e-05,0.05110054450714482
36,1570.0425301204823,5.189078072982954e-05,0.05114870573552778
37,1570.043701204819,5.615385056863185e-05,0.05118208326914538
38,1570.0448542168667,5.327667390326555e-05,0.051156983255835085
39,1570.0460819277118,5.341013492790325e-05,0.05114439508317925
40,1570.0470843373503,5.170532020921606e-05,0.05117851221276726
41,1570.0476759036148,5.1797735934196564e-05,0.05118818533489181
42,1570.0481349397594,5.874179016035915e-05,0.05118166230394189
43,1570.048678313253,5.158516125017439e-05,0.05116142907645614
44,1570.0492240963852,5.802298654416053e-05,0.051159013008545876
45,1570.0497566265055,5.313359632923676e-05,0.051171057317479646
46,1570.0503578313253,5.23775895335748e-05,0.05116897972531487
47,1570.0510373493987,5.2996036550921244e-05,0.05116806735223835
48,1570.0517662650611,5.2666729300540965e-05,0.05118160077869874
49,1570.0525180722886,5.277512339958811e-05,0.05116895174553011
50,1570.053292771084,5.1858521605389324e-05,0.05117724854982695
51,1570.0541024096376,5.545593340611998e-05,0.05118211511400873
52,1570.054877108433,5.695390653432584e-05,0.05118517392876158
53,1570.0556301204826,5.320636140847725e-05,0.05119809183214355
54,1570.0564168674703,5.853670194189338e-05,0.0512084954239711
55,1570.0573457831329,5.795482102855341e-05,0.051201725606571706
56,1570.0584289156623,5.598242715396442e-05,0.05121350167336258
57,1570.059638554217,5.300691591981663e-05,0.05122874648115872
58,1570.061012048193,5.6160203948148094e-05,0.0512338233116552
59,1570.0625506024096,5.698695699875191e-05,0.051243682297361426
60,1570.0641578313246,5.717167388930967e-05,0.05124743034482532
61,1570.0657301204826,6.0104283644921955e-05,0.05126746039943094
62,1570.0672240963856,5.476432230179208e-05,0.05127751376710104
63,1570.0687156626498,5.8778544785408664e-05,0.051292224265606194
64,1570.0701975903619,5.395153160028742e-05,0.05128846479299197
65,1570.0715927710846,5.973058914058011e-05,0.05129152653494342
66,1570.072745783132,5.8583713268196125e-05,0.05131170556383825
67,1570.0736578313247,6.017581279983951e-05,0.05132753783488011
68,1570.0744373493972,5.4166826820485155e-05,0.05133365052496601
69,1570.0751373493988,5.891384818193226e-05,0.051342691960631064
70,1570.0758060240973,,0.05134992516872136
71,1570.0763734939767,5.7005524555020386e-05,0.05135809211645437
72,1570.0769132530115,5.9047807383757316e-05,0.05137071958415663
73,1570.0774542168674,5.523100064076034e-05,0.05137545880120598
74,1570.0779939759034,5.665569586647397e-05,0.051382358928975594
75,1570.0785771084327,5.6128935550964676e-05,0.051390726512927795
76,1570.0792301204817,5.811364789234187e-05,0.051387506321474714
77,1570.0799060240975,5.851025573556842e-05,0.051399149837580455
78,1570.0806036144581,5.994467675508072e-05,0.05140414371366193
79,1570.0813518072289,5.965914591070321e-05,0.05140402852254615
80,1570.082214457831,5.718115443884749e-05,0.05140150019958551
81,1570.0832469879517,5.3330623330551494e-05,0.051395178893431405
82,1570.0843771084346,6.115141271830114e-05,0.05139845391647918
83,1570.085627710843,5.7979780512684095e-05,0.05140145929194064
84,1570.0870481927702,6.298682392822828e-05,0.05139688018614025
85,1570.0886457831323,6.238188837856944e-05,0.051383770133489874
86,1570.0903879518078,6.080279701718392e-05,0.051369233688464876
87,1570.0921012048188,5.9358034952032096e-05,0.05134831339586355
88,1570.0936421686752,5.922127270696468e-05,0.05133737970287286
89,1570.0949795180725,6.340895239376533e-05,0.05132725247806852
90,1570.0962036144579,6.318332816320151e-05,0.05131860910406534
91,1570.0973361445776,5.890915393692406e-05,0.051302831226310464
92,1570.0983228915659,6.34486263938067e-05,0.05129252718715874
93,1570.0991216867474,6.137322066588662e-05,0.05128200192929103
94,1570.0997060240973,6.822668975366784e-05,0.05127441157945562
95,1570.1002144578317,6.308050123094608e-05,0.05126289705046943
96,1570.100696385542,6.528204210906666e-05,0.05125404572137289
97,1570.1012192771084,6.648553782932684e-05,0.05124077098127236
98,1570.1017831325303,6.26515746159891e-05,0.051234815996323166
99,1570.1024036144574,6.148038003446302e-05,0.05122144752632327
100,1570.103072289156,6.263777029851714e-05,0.05119772229832303
101,1570.103808433736,6.667454484900102e-05,0.051167105401683614
102,1570.1045843373502,6.339241140083154e-05,0.05115357335677482
103,1570.1053903614463,6.570954893935803e-05,0.05114728636006947
104,1570.106219277108,7.090731449898412e-05,0.05114269514585975
105,1570.1071289156614,6.60484538152081e-05,0.051137505151220126
106,1570.108197590362,6.805188911942787e-05,0.05112325854744015
107,1570.1094518072293,6.640207591939004e-05,0.05110192773518753
108,1570.1108204819277,6.630131468423359e-05,0.05108419446486634
109,1570.1122746987942,6.983455507763099e-05,0.051064334082072116
110,1570.113771084338,6.573743097644576e-05,0.05104111373740037
111,1570.1153433734944,6.827023862501514e-05,0.05103112774442718
112,1570.1169036144574,7.09684446878056e-05,0.050993397900322514
113,1570.118340963856,7.132923665369409e-05,0.05097551600690431
114,1570.1196325301207,6.703359381960496e-05,0.05096208126893914
115,1570.120828915662,6.841018416390596e-05,0.05093817724976184
116,1570.1219590361436,7.379676256674812e-05,0.05091366801767668
117,1570.122995180723,7.072853752127332e-05,0.05089889960625141
118,1570.123908433735,7.466696912790512e-05,0.050889460685508696
119,1570.124685542169,6.989069043425096e-05,0.05087247714342145
120,1570.1254192771084,7.262598387657723e-05,0.05086094031263397
121,1570.1260638554213,7.639607473672818e-05,0.05084613225509009
122,1570.1266795180727,7.675573557946634e-05,0.05084356859063885
123,1570.1273156626507,7.272238607013341e-05,0.05082937846197092
124,1570.1279722891572,7.224474968360333e-05,0.050813698478732024
125,1570.128596385543,7.633189069764064e-05,0.05080762901103851
126,1570.1292421686753,7.52025931448914e-05,0.05080084106858676
127,1570.129955421687,7.68317444270047e-05,0.05078449583636825
